2024-10-30 at 11:56:00 | INFO | Успешный переход на страницу контактов
2024-10-30 at 11:56:00 | INFO | Успешный переход на страницу контактов
2024-10-30 at 11:56:00 | INFO | Проверка на соответствие региону, который определился автоматически
2024-10-30 at 11:56:00 | INFO | Проверка на соответствие региону, который определился автоматически
2024-10-30 at 11:56:01 | INFO | Регион определился корректно: Республика Башкортостан
2024-10-30 at 11:56:01 | INFO | Регион определился корректно: Республика Башкортостан
2024-10-30 at 11:56:01 | INFO | Список партнеров присутствует на странице Контакты
2024-10-30 at 11:56:01 | INFO | Список партнеров присутствует на странице Контакты
2024-10-30 at 11:56:01 | INFO | Город Уфа присутствует в списке партнеров
2024-10-30 at 11:56:01 | INFO | Город Уфа присутствует в списке партнеров
2024-10-30 at 11:56:01 | INFO | Регион успешно изменен на '41 Камчатский край'
2024-10-30 at 11:56:01 | INFO | Регион успешно изменен на '41 Камчатский край'
2024-10-30 at 11:56:02 | INFO | URL успешно изменён и содержит текст '41-kamchatskij-kraj'
2024-10-30 at 11:56:02 | INFO | URL успешно изменён и содержит текст '41-kamchatskij-kraj'
2024-10-30 at 11:56:02 | INFO | Список партнеров успешно изменён. Теперь в списке партнеров город Петропавловск-Камчатский
2024-10-30 at 11:56:02 | INFO | Список партнеров успешно изменён. Теперь в списке партнеров город Петропавловск-Камчатский
2024-10-30 at 11:56:14 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 11:56:14 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 11:56:14 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 11:56:14 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 11:56:14 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 11:56:14 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 11:56:23 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 11:56:23 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 11:56:23 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 11:56:23 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 11:56:23 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 11:56:23 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 11:56:24 | INFO | Скачанный файл был удалён
2024-10-30 at 11:56:24 | INFO | Скачанный файл был удалён
2024-10-30 at 11:56:41 | INFO | Переход на страницу скачивания приложения SBIS
